frame,id,class,conf,speed_kph
0,1,car,0.73,0
0,2,car,0.55,0
0,3,car,0.53,0
0,4,bus,0.48,0
0,5,cell phone,0.36,0
1,1,car,0.73,14
1,3,car,0.5,14
1,4,bus,0.38,16
1,5,car,0.67,15
2,1,car,0.8,25
2,3,bus,0.45,27
2,4,car,0.68,27
2,5,car,0.68,30
3,1,car,0.85,40
3,3,car,0.57,30
3,4,bus,0.31,32
3,5,car,0.61,36
4,1,car,0.79,30
4,4,car,0.46,33
4,5,car,0.41,38
5,1,car,0.84,32
5,4,car,0.41,32
5,5,car,0.49,39
6,1,car,0.83,27
6,4,car,0.65,26
6,5,car,0.69,36
6,7,truck,0.4,0
7,1,car,0.79,36
7,4,car,0.68,34
7,5,car,0.56,36
7,7,truck,0.39,32
8,1,car,0.82,25
8,4,car,0.59,27
8,5,car,0.65,30
9,1,car,0.79,33
9,4,car,0.63,38
9,5,car,0.76,38
9,7,truck,0.46,34
10,1,car,0.78,27
10,4,bus,0.17,23
10,5,car,0.67,30
10,7,truck,0.43,34
11,1,car,0.82,35
11,4,bus,0.21,32
11,5,truck,0.47,32
11,7,car,0.67,34
12,1,car,0.77,31
12,4,car,0.57,27
13,1,car,0.71,25
13,4,car,0.6,25
13,5,car,0.74,31
14,1,car,0.72,32
14,4,car,0.45,31
14,5,car,0.75,29
15,1,car,0.72,18
15,4,car,0.52,20
15,5,car,0.62,25
16,1,car,0.69,22
16,4,bus,0.47,26
16,5,car,0.62,28
17,1,car,0.8,39
17,4,bus,0.49,30
17,5,car,0.62,38
18,1,car,0.75,26
18,4,car,0.45,27
18,5,car,0.67,27
19,1,car,0.74,21
19,4,car,0.44,23
19,5,car,0.7,28
20,1,car,0.8,25
20,4,car,0.44,25
20,5,car,0.65,26
21,1,car,0.82,22
21,4,car,0.43,17
21,5,car,0.75,27
22,1,car,0.83,21
22,4,car,0.51,27
22,5,car,0.72,30
23,1,car,0.81,30
23,4,truck,0.28,23
23,5,car,0.71,25
24,1,car,0.74,18
24,4,car,0.37,23
24,5,car,0.71,28
25,1,car,0.79,22
25,4,car,0.31,20
25,5,car,0.71,23
26,1,car,0.79,19
26,4,car,0.32,14
26,5,car,0.73,24
27,1,car,0.74,30
27,4,truck,0.16,24
27,5,car,0.75,25
28,1,car,0.72,21
28,4,car,0.17,17
28,5,car,0.64,25
29,1,car,0.69,24
29,4,car,0.27,14
29,5,car,0.63,26
30,1,car,0.76,23
30,5,car,0.71,23
31,1,car,0.58,15
31,5,car,0.65,17
31,17,car,0.66,0
32,1,car,0.5,24
32,5,car,0.58,21
32,17,car,0.62,41
33,1,car,0.44,27
33,5,car,0.65,28
33,17,car,0.56,50
34,1,car,0.22,14
34,5,car,0.73,21
34,17,car,0.48,46
35,5,car,0.58,21
35,17,car,0.58,44
36,5,car,0.6,22
36,17,car,0.76,43
37,5,car,0.48,22
37,17,car,0.51,45
38,5,car,0.47,22
38,17,car,0.54,38
39,5,car,0.63,20
39,17,car,0.39,41
40,5,car,0.58,16
40,17,car,0.47,38
40,21,car,0.6,0
41,5,car,0.78,23
41,17,bus,0.22,40
41,21,car,0.74,41
42,5,car,0.8,24
42,17,car,0.37,37
42,21,car,0.64,41
43,5,car,0.8,21
43,17,car,0.4,39
43,21,car,0.66,44
44,5,car,0.77,21
44,17,car,0.62,33
44,21,car,0.67,46
44,25,chair,0.65,0
45,5,car,0.73,15
45,17,car,0.51,36
45,21,car,0.8,42
45,25,chair,0.43,11
46,5,car,0.6,18
46,17,car,0.79,32
46,21,car,0.64,42
46,25,chair,0.58,13
47,5,car,0.61,18
47,17,car,0.72,35
47,21,car,0.83,40
47,25,chair,0.65,8
47,27,toilet,0.55,0
48,17,car,0.75,36
48,21,car,0.74,41
48,25,chair,0.37,25
48,27,toilet,0.82,3
49,17,car,0.68,35
49,21,car,0.73,41
