second,vehicle_count,avg_speed_kph
0.0,3,0.0
0.0,3,14.8
0.0,2,0.0
0.0,2,14.8
0.1,2,27.2
0.1,2,34.5
0.1,2,33.7
0.1,2,27.2
0.1,2,34.5
0.1,2,33.7
0.1,1,27.2
0.1,1,34.5
0.1,1,33.7
0.2,1,34.3
0.2,1,22.2
0.2,1,34.5
0.2,2,34.3
0.2,2,22.2
0.2,2,34.5
0.2,2,34.3
0.2,2,22.2
0.2,2,34.5
0.3,1,27.3
0.3,1,35.8
0.3,1,28.5
0.3,2,27.3
0.3,2,35.8
0.3,2,28.5
0.3,3,27.3
0.3,3,35.8
0.3,3,28.5
0.4,3,33.2
0.4,3,29.0
0.4,3,27.0
0.4,1,33.2
0.4,1,29.0
0.4,1,27.0
0.4,1,33.2
0.4,1,29.0
0.4,1,27.0
0.5,1,30.7
0.5,1,21.0
0.5,1,25.3
0.5,1,30.7
0.5,1,21.0
0.5,1,25.3
0.5,2,30.7
0.5,2,21.0
0.5,2,25.3
0.6,2,35.7
0.6,2,26.7
0.6,2,24.0
0.6,1,35.7
0.6,1,26.7
0.6,1,24.0
0.6,1,35.7
0.6,1,26.7
0.6,1,24.0
0.7,1,25.3
0.7,1,22.0
0.7,1,26.0
0.7,1,25.3
0.7,1,22.0
0.7,1,26.0
0.7,1,25.3
0.7,1,22.0
0.7,1,26.0
0.8,2,26.0
0.8,2,23.0
0.8,2,21.7
0.8,1,26.0
0.8,1,23.0
0.8,1,21.7
0.8,1,26.0
0.8,1,23.0
0.8,1,21.7
0.9,1,19.0
0.9,1,26.3
0.9,1,21.0
0.9,2,19.0
0.9,2,26.3
0.9,2,21.0
0.9,1,19.0
0.9,1,26.3
0.9,1,21.0
1.0,1,21.3
1.0,1,23.0
1.0,1,10.7
1.0,1,21.3
1.0,1,23.0
1.0,1,10.7
1.0,1,21.3
1.0,1,23.0
1.0,1,10.7
1.1,1,28.7
1.1,1,35.0
1.1,1,27.0
1.1,1,28.7
1.1,1,35.0
1.1,1,27.0
1.1,1,28.7
1.1,1,35.0
1.1,1,27.0
1.2,1,32.5
1.2,1,32.5
1.2,1,33.5
1.2,1,32.5
1.2,1,32.5
1.2,1,33.5
1.2,1,32.5
1.2,1,32.5
1.2,1,33.5
1.3,1,30.0
1.3,1,30.5
1.3,1,18.0
1.3,1,30.0
1.3,1,30.5
1.3,1,18.0
1.3,1,30.0
1.3,1,30.5
1.3,1,18.0
1.4,2,34.7
1.4,2,34.0
1.4,2,34.7
1.4,1,34.7
1.4,1,34.0
1.4,1,34.7
1.4,1,34.7
1.4,1,34.0
1.4,1,34.7
1.5,2,25.0
1.5,2,26.0
1.5,2,26.2
1.5,2,25.0
1.5,2,26.0
1.5,2,26.2
1.5,2,25.0
1.5,2,26.0
1.5,2,26.2
1.6,3,20.2
1.6,3,26.2
1.6,3,31.8
1.6,3,20.2
1.6,3,26.2
1.6,3,31.8
1.6,2,20.2
1.6,2,26.2
1.6,2,31.8
